h,s,v,emotion,is_error
0.283,0.688,0.297,Fear,True
0.452,0.958,0.046,Fear,False
0.28,0.779,0.787,Fear,True
0.52,0.929,0.398,Surprise,False
0.847,0.889,0.865,Surprise,False
0.536,0.867,0.554,Surprise,False
0.591,0.613,0.973,Surprise,False
0.191,0.484,0.477,Fear,True
0.674,0.748,0.36,Surprise,False
0.244,0.249,0.549,Surprise,False
0.351,0.691,0.835,Surprise,False
0.071,0.819,0.399,Surprise,False
0.454,0.196,0.249,Surprise,False
0.984,0.859,0.978,Anger,False
0.527,0.168,0.716,Surprise,False
0.129,0.336,0.792,Surprise,False
0.03,0.674,0.286,Surprise,False
0.1,0.899,0.204,Surprise,False
0.179,0.906,0.981,Happiness,False
0.345,0.426,0.955,Surprise,False
0.317,0.546,0.517,Disgust,False
0.471,0.371,0.181,Fear,False
0.711,0.186,0.118,Sadness,True
0.963,0.293,0.444,Surprise,False
0.501,0.174,0.455,Surprise,False
0.74,0.304,0.951,Surprise,False
0.555,0.897,0.95,Surprise,False
0.31,0.188,0.489,Surprise,False
0.63,0.424,0.099,Disgust,True
0.826,0.4,0.364,Surprise,False
0.553,0.798,0.774,Surprise,False
0.873,0.916,0.894,Surprise,False
0.621,0.481,0.737,Surprise,False
0.286,0.837,0.096,Fear,False
0.97,0.762,0.723,Anger,False
0.832,0.911,0.286,Surprise,False
0.707,0.157,0.559,Sadness,False
0.006,0.961,0.437,Surprise,False
0.459,0.084,0.107,Fear,False
0.794,0.077,0.991,Surprise,False
0.276,0.829,0.917,Fear,True
0.452,0.329,0.23,Surprise,False
0.237,0.447,0.841,Surprise,False
0.777,0.163,0.676,Surprise,False
0.919,0.24,0.013,Fear,False
0.884,0.392,0.017,Fear,False
0.302,0.103,0.426,Surprise,False
0.708,0.857,0.987,Surprise,False
0.061,0.334,0.64,Surprise,False
0.194,0.971,0.752,Surprise,False
0.273,0.094,0.295,Happiness,True
0.657,0.904,0.659,Surprise,False
0.855,0.286,0.361,Surprise,False
0.084,0.903,0.784,Happiness,False
0.671,0.049,0.735,Surprise,False
0.53,0.985,0.772,Surprise,False
0.761,0.819,0.715,Surprise,False
0.425,0.227,0.433,Surprise,False
0.867,0.548,0.238,Surprise,False
0.009,0.808,0.112,Fear,False
0.001,0.01,0.091,Fear,False
0.108,0.867,0.839,Happiness,False
0.185,0.806,0.867,Happiness,True
0.431,0.992,0.39,Surprise,False
0.593,0.144,0.626,Surprise,False
0.228,0.244,0.715,Surprise,False
0.598,0.602,0.155,Fear,False
0.571,0.597,0.322,Surprise,False
0.828,0.453,0.169,Fear,False
0.48,0.338,0.415,Surprise,False
0.446,0.771,0.196,Disgust,True
0.914,0.331,0.522,Surprise,False
0.266,0.414,0.802,Surprise,False
0.042,0.26,0.421,Surprise,False
0.153,0.305,0.29,Surprise,False
0.466,0.322,0.404,Surprise,False
0.45,0.273,0.41,Surprise,False
0.435,0.977,0.139,Fear,False
0.011,0.167,0.542,Surprise,False
0.81,0.391,0.295,Surprise,False
0.869,0.401,0.039,Fear,False
0.374,0.303,0.428,Disgust,False
0.931,0.897,0.381,Surprise,False
0.596,0.277,0.181,Sadness,True
0.54,0.706,0.651,Surprise,False
0.045,0.155,0.293,Surprise,False
0.068,0.703,0.203,Surprise,False
0.644,0.866,0.949,Surprise,False
0.798,0.017,0.408,Surprise,False
0.998,0.223,0.702,Surprise,False
0.588,0.731,0.381,Surprise,False
0.862,0.377,0.877,Surprise,False
0.955,0.316,0.801,Surprise,False
0.792,0.866,0.099,Fear,False
0.689,0.502,0.859,Surprise,False
0.198,0.99,0.241,Surprise,False
0.991,0.067,0.214,Surprise,False
0.815,0.729,0.076,Fear,False
0.637,0.164,0.513,Sadness,False
0.869,0.819,0.269,Happiness,True
0.097,0.255,0.068,Fear,False
0.503,0.535,0.755,Surprise,False
0.464,0.11,0.529,Surprise,False
0.327,0.674,0.619,Disgust,False
0.177,0.79,0.192,Fear,False
0.423,0.754,0.307,Surprise,False
0.323,0.41,0.368,Disgust,False
0.98,0.458,0.143,Fear,False
0.176,0.241,0.13,Fear,False
0.157,0.11,0.92,Surprise,False
0.882,0.239,0.385,Surprise,False
0.573,0.634,0.612,Surprise,False
0.739,0.917,0.846,Surprise,False
0.194,0.124,0.625,Surprise,False
0.25,0.365,0.467,Disgust,False
0.195,0.505,0.859,Surprise,False
0.37,0.062,0.566,Surprise,False
0.01,0.483,0.256,Surprise,False
0.519,0.913,0.783,Surprise,False
0.06,0.251,0.18,Fear,False
0.236,0.423,0.905,Surprise,False
0.204,0.958,0.364,Surprise,False
0.925,0.684,0.404,Surprise,False
0.961,0.978,0.034,Fear,False
0.676,0.878,0.285,Surprise,False
0.501,0.088,0.02,Fear,False
0.238,0.072,0.914,Surprise,False
0.28,0.622,0.821,Surprise,False
0.8,0.825,0.01,Fear,False
0.494,0.873,0.032,Fear,False
0.243,0.364,0.433,Disgust,False
0.793,0.816,0.585,Surprise,False
0.748,0.351,0.732,Surprise,False
0.56,0.543,0.623,Surprise,False
0.614,0.222,0.032,Fear,False
0.329,0.635,0.156,Fear,False
0.564,0.067,0.339,Sadness,False
0.033,0.471,0.145,Fear,False
0.648,0.892,0.856,Surprise,False
0.595,0.252,0.491,Fear,True
0.14,0.066,0.312,Surprise,False
0.168,0.186,0.943,Surprise,False
0.098,0.465,0.171,Fear,False
0.98,0.891,0.25,Surprise,False
0.714,0.396,0.472,Sadness,False
0.279,0.162,0.577,Surprise,False
0.783,0.669,0.934,Surprise,False
0.75,0.928,0.514,Surprise,False
0.475,0.521,0.865,Fear,True
0.568,0.849,0.689,Surprise,False
0.719,0.674,0.113,Fear,False
0.104,0.936,0.249,Surprise,False
0.72,0.535,0.211,Surprise,False
0.84,0.684,0.592,Surprise,False
0.501,0.837,0.169,Fear,False
0.75,0.91,0.267,Surprise,False
0.679,0.831,0.934,Surprise,False
0.089,0.631,0.505,Surprise,False
0.214,0.19,0.348,Surprise,False
0.708,0.02,0.004,Fear,False
0.873,0.03,0.866,Surprise,False
0.013,0.541,0.351,Surprise,False
0.244,0.601,0.874,Surprise,False
0.814,0.616,0.703,Surprise,False
0.277,0.304,0.454,Disgust,False
0.983,0.542,0.753,Surprise,False
0.602,0.792,0.43,Surprise,False
0.662,0.227,0.191,Fear,False
0.956,0.964,0.818,Anger,False
0.263,0.435,0.334,Disgust,False
0.599,0.553,0.97,Surprise,False
0.088,0.808,0.807,Happiness,False
0.205,0.046,0.314,Surprise,False
0.102,0.23,0.448,Surprise,False
0.583,0.559,0.541,Surprise,False
0.412,0.502,0.621,Sadness,True
0.59,0.915,0.258,Surprise,False
0.539,0.634,0.857,Surprise,False
0.929,0.121,0.318,Surprise,False
0.78,0.13,0.183,Fear,False
0.516,0.743,0.05,Fear,False
0.512,0.137,0.506,Surprise,False
0.476,0.533,0.801,Surprise,False
0.567,0.276,0.656,Surprise,False
0.893,0.454,0.567,Surprise,False
0.589,0.085,0.994,Surprise,False
0.745,0.99,0.211,Surprise,False
0.956,0.858,0.963,Anger,False
0.307,0.473,0.247,Surprise,False
0.491,0.326,0.243,Surprise,False
0.006,0.188,0.971,Surprise,False
0.065,0.782,0.662,Surprise,False
0.536,0.123,0.028,Sadness,True
0.03,0.569,0.949,Surprise,False
0.795,0.388,0.052,Sadness,True
0.364,0.859,0.633,Surprise,False
0.579,0.168,0.459,Sadness,False
0.607,0.386,0.163,Fear,False
0.26,0.029,0.649,Surprise,False
0.113,0.541,0.904,Fear,True
0.978,0.045,0.23,Surprise,False
0.103,0.066,0.036,Fear,False
0.381,0.822,0.91,Surprise,False
0.767,0.375,0.245,Surprise,False
0.394,0.572,0.327,Disgust,False
0.049,0.875,0.354,Surprise,False
0.092,0.725,0.729,Happiness,False
0.352,0.373,0.407,Disgust,False
0.816,0.449,0.052,Fear,False
0.299,0.016,0.841,Surprise,False
0.683,0.727,0.355,Surprise,False
0.122,0.117,0.127,Fear,False
0.255,0.926,0.339,Surprise,False
0.361,0.998,0.784,Fear,True
0.499,0.744,0.811,Happiness,True
0.585,0.805,0.102,Fear,False
0.284,0.221,0.941,Surprise,False
0.932,0.65,0.025,Fear,False
0.25,0.361,0.357,Disgust,False
0.713,0.835,0.326,Surprise,False
0.396,0.156,0.394,Surprise,False
0.588,0.555,0.19,Fear,False
0.083,0.544,0.127,Fear,False
0.18,0.199,0.113,Fear,False
0.511,0.19,0.491,Surprise,False
0.414,0.107,0.2,Surprise,False
0.711,0.581,0.382,Fear,True
0.115,0.805,0.167,Fear,False
0.27,0.808,0.536,Surprise,False
0.049,0.255,0.108,Fear,False
0.787,0.712,0.13,Fear,False
0.315,0.812,0.238,Surprise,False
0.849,0.066,0.697,Surprise,False
0.729,0.143,0.283,Surprise,False
0.76,0.381,0.723,Fear,True
0.277,0.795,0.645,Surprise,False
0.25,0.722,0.041,Fear,False
0.193,0.152,0.585,Surprise,False
0.234,0.966,0.659,Surprise,False
0.693,0.743,0.467,Surprise,False
0.9,0.783,0.416,Surprise,False
0.435,0.106,0.752,Surprise,False
0.429,0.142,0.522,Surprise,False
0.857,0.471,0.94,Surprise,False
0.587,0.523,0.564,Surprise,False
0.247,0.506,0.127,Fear,False
0.527,0.75,0.774,Happiness,True
0.069,0.106,0.068,Fear,False
0.933,0.952,0.877,Surprise,False
0.948,0.31,0.422,Fear,True
0.862,0.437,0.561,Happiness,True
0.607,0.184,0.765,Surprise,False
0.199,0.917,0.304,Surprise,False
0.547,0.68,0.479,Surprise,False
0.221,0.714,0.237,Surprise,False
0.455,0.956,0.134,Sadness,True
0.01,0.364,0.714,Surprise,False
0.464,0.025,0.295,Surprise,False
0.963,0.343,0.952,Surprise,False
0.147,0.838,0.082,Fear,False
0.644,0.394,0.471,Sadness,False
0.511,0.801,0.36,Surprise,False
0.064,0.57,0.349,Surprise,False
0.124,0.379,0.66,Surprise,False
0.203,0.996,0.447,Surprise,False
0.471,0.436,0.398,Fear,True
0.843,0.245,0.548,Fear,True
0.72,0.0,0.575,Disgust,True
0.748,0.043,0.297,Surprise,False
0.576,0.099,0.811,Surprise,False
0.733,0.885,0.702,Surprise,False
0.214,0.067,0.286,Surprise,False
0.298,0.704,0.943,Surprise,False
0.688,0.912,0.841,Surprise,False
0.215,0.097,0.846,Happiness,True
0.437,0.223,0.473,Surprise,False
0.937,0.318,0.333,Surprise,False
0.322,0.262,0.572,Surprise,False
0.21,0.452,0.537,Disgust,False
0.691,0.067,0.026,Fear,False
0.832,0.55,0.671,Happiness,True
0.287,0.01,0.658,Happiness,True
0.209,0.894,0.532,Happiness,True
0.915,0.326,0.242,Surprise,False
0.505,0.705,0.462,Surprise,False
0.507,0.871,0.421,Surprise,False
0.458,0.1,0.063,Fear,False
0.823,0.569,0.02,Fear,False
0.133,0.45,0.806,Surprise,False
0.973,0.207,0.475,Surprise,False
0.372,0.395,0.877,Surprise,False
0.321,0.527,0.851,Surprise,False
0.734,0.99,0.269,Surprise,False
0.251,0.627,0.13,Fear,False
0.572,0.133,0.998,Surprise,False
0.971,0.219,0.149,Sadness,True
0.25,0.258,0.886,Surprise,False
0.133,0.933,0.777,Happiness,False
0.819,0.785,0.143,Fear,False
0.542,0.802,0.838,Surprise,False
0.467,0.944,0.346,Happiness,True
0.532,0.684,0.298,Surprise,False
0.583,0.618,0.241,Surprise,False
0.825,0.994,0.561,Surprise,False
0.254,0.042,0.265,Surprise,False
0.714,0.948,0.236,Surprise,False
0.787,0.245,0.371,Surprise,False
0.417,0.513,0.68,Surprise,False
0.499,0.087,0.191,Fear,False
0.394,0.084,0.592,Surprise,False
0.231,0.732,0.947,Surprise,False
0.417,0.697,0.537,Surprise,False
0.389,0.749,0.863,Surprise,False
0.745,0.681,0.247,Surprise,False
0.142,0.757,0.587,Surprise,False
0.27,0.697,0.639,Disgust,False
0.229,0.692,0.418,Disgust,False
0.105,0.377,0.615,Surprise,False
0.947,0.891,0.8,Anger,False
0.034,0.706,0.275,Surprise,False
0.136,0.746,0.708,Happiness,False
0.37,0.303,0.38,Disgust,False
0.054,0.302,0.536,Surprise,False
0.045,0.253,0.147,Fear,False
0.817,0.716,0.449,Surprise,False
0.514,0.673,0.823,Surprise,False
0.051,0.694,0.104,Sadness,True
0.567,0.369,0.285,Fear,True
0.973,0.626,0.36,Surprise,False
0.03,0.5,0.518,Surprise,False
0.092,0.655,0.62,Surprise,False
0.6,0.847,0.875,Surprise,False
0.599,0.734,0.679,Fear,True
0.583,0.37,0.048,Fear,False
0.885,0.594,0.947,Happiness,True
0.208,0.338,0.071,Fear,False
0.837,0.515,0.764,Surprise,False
0.587,0.981,0.864,Surprise,False
0.406,0.927,0.367,Surprise,False
0.82,0.186,0.683,Surprise,False
0.732,0.601,0.587,Fear,True
0.371,0.286,0.517,Surprise,False
0.581,0.82,0.706,Surprise,False
0.458,0.332,0.148,Fear,False
0.535,0.889,0.303,Surprise,False
0.636,0.457,0.019,Fear,False
0.019,0.246,0.643,Surprise,False
0.883,0.886,0.787,Fear,True
0.659,0.723,0.312,Surprise,False
0.629,0.809,0.603,Surprise,False
0.986,0.598,0.359,Surprise,False
0.375,0.87,0.525,Surprise,False
0.167,0.772,0.516,Surprise,False
0.499,0.58,0.0,Fear,False
0.908,0.785,0.237,Fear,True
0.847,0.885,0.205,Surprise,False
0.313,0.056,0.9,Surprise,False
0.759,0.847,0.435,Surprise,False
0.004,0.986,0.835,Anger,False
0.609,0.165,0.011,Fear,False
0.342,0.054,0.72,Surprise,False
0.653,0.496,0.423,Sadness,False
0.535,0.36,0.756,Surprise,False
0.955,0.892,0.79,Anger,False
0.369,0.785,0.213,Surprise,False
0.815,0.002,0.754,Happiness,True
0.401,0.131,0.612,Happiness,True
0.552,0.58,0.473,Surprise,False
0.027,0.416,0.877,Surprise,False
0.018,0.379,0.1,Fear,False
0.041,0.429,0.417,Happiness,True
0.789,0.188,0.474,Surprise,False
0.212,0.515,0.542,Disgust,False
0.796,0.166,0.621,Happiness,True
0.483,0.231,0.284,Surprise,False
0.802,0.367,0.676,Surprise,False
0.46,0.574,0.792,Surprise,False
0.436,0.678,0.331,Surprise,False
0.022,0.508,0.173,Fear,False
0.765,0.238,0.172,Fear,False
0.738,0.877,0.242,Surprise,False
0.699,0.722,0.647,Surprise,False
0.15,0.42,0.353,Surprise,False
0.526,0.264,0.684,Surprise,False
0.726,0.926,0.066,Fear,False
0.083,0.238,0.706,Surprise,False
0.319,0.86,0.077,Fear,False
0.613,0.452,0.939,Surprise,False
0.476,0.983,0.969,Surprise,False
0.697,0.816,0.42,Surprise,False
0.499,0.96,0.818,Surprise,False
0.857,0.189,0.1,Fear,False
0.705,0.943,0.588,Surprise,False
0.709,0.888,0.093,Fear,False
0.567,0.379,0.384,Disgust,True
0.825,0.376,0.625,Surprise,False
0.857,0.62,0.543,Surprise,False
0.957,0.613,0.453,Surprise,False
0.882,0.406,0.316,Surprise,False
0.878,0.255,0.359,Surprise,False
0.986,0.909,0.821,Anger,False
0.612,0.976,0.444,Surprise,False
0.303,0.31,0.182,Sadness,True
0.911,0.199,0.737,Surprise,False
0.372,0.813,0.215,Surprise,False
0.317,0.39,0.036,Sadness,True
0.659,0.223,0.318,Sadness,False
0.298,0.561,0.632,Disgust,False
0.989,0.823,0.536,Surprise,False
0.761,0.042,0.583,Surprise,False
0.625,0.82,0.381,Surprise,False
0.83,0.313,0.688,Surprise,False
0.318,0.933,0.745,Surprise,False
0.388,0.773,0.38,Surprise,False
0.518,0.186,0.094,Fear,False
0.617,0.098,0.064,Fear,False
0.018,0.604,0.211,Surprise,False
0.976,0.038,0.777,Surprise,False
0.88,0.08,0.67,Surprise,False
0.803,0.429,0.731,Surprise,False
0.051,0.541,0.285,Surprise,False
0.619,0.738,0.476,Surprise,False
0.936,0.414,0.805,Surprise,False
0.742,0.887,0.739,Surprise,False
0.52,0.347,0.042,Fear,False
0.723,0.387,0.666,Surprise,False
0.423,0.878,0.12,Fear,False
0.897,0.516,0.128,Fear,False
0.618,0.222,0.887,Surprise,False
0.86,0.77,0.158,Fear,False
0.188,0.267,0.814,Surprise,False
0.616,0.884,0.426,Surprise,False
0.88,0.659,0.666,Surprise,False
0.769,0.513,0.191,Fear,False
0.314,0.391,0.013,Fear,False
0.797,0.862,0.685,Surprise,False
0.464,0.811,0.685,Surprise,False
0.716,0.792,0.087,Fear,False
0.063,0.649,0.416,Surprise,False
0.303,0.651,0.381,Disgust,False
0.374,0.186,0.499,Surprise,False
0.963,0.758,0.956,Anger,False
0.35,0.234,0.771,Surprise,False
0.199,0.044,0.596,Surprise,False
0.961,0.438,0.757,Surprise,False
0.144,0.214,0.404,Surprise,False
0.843,0.674,0.124,Fear,False
0.94,0.517,0.627,Surprise,False
0.268,0.418,0.009,Fear,False
0.279,0.657,0.149,Fear,False
0.795,0.982,0.651,Surprise,False
0.51,0.106,0.997,Surprise,False
0.268,0.128,0.735,Surprise,False
0.957,0.342,0.778,Surprise,False
0.006,0.698,0.127,Fear,False
0.093,0.588,0.041,Fear,False
0.833,0.95,0.844,Surprise,False
0.133,0.643,0.864,Fear,True
0.99,0.379,0.216,Surprise,False
0.037,0.531,0.579,Surprise,False
0.922,0.289,0.706,Surprise,False
0.454,0.876,0.196,Fear,False
0.433,0.586,0.379,Surprise,False
0.999,0.637,0.166,Fear,False
0.092,0.624,0.983,Surprise,False
0.357,0.732,0.249,Happiness,True
0.912,0.434,0.53,Surprise,False
0.667,0.861,0.609,Surprise,False
0.779,0.742,0.151,Fear,False
0.08,0.789,0.456,Surprise,False
0.98,0.039,0.919,Surprise,False
0.084,0.056,0.393,Surprise,False
0.088,0.252,0.872,Surprise,False
0.82,0.981,0.488,Surprise,False
0.58,0.367,0.394,Sadness,False
0.012,0.848,0.054,Fear,False
0.079,0.921,0.862,Surprise,False
0.348,0.67,0.818,Surprise,False
0.152,0.518,0.102,Fear,False
0.822,0.724,0.152,Fear,False
0.517,0.078,0.653,Surprise,False
0.827,0.758,0.156,Fear,False
0.612,0.785,0.502,Surprise,False
0.381,0.153,0.691,Surprise,False
0.853,0.779,0.556,Surprise,False
0.067,0.78,0.903,Surprise,False
0.001,0.176,0.042,Fear,False
0.773,0.809,0.352,Surprise,False
0.64,0.877,0.612,Surprise,False
0.624,0.088,0.356,Sadness,False
0.738,0.266,0.28,Happiness,True
0.432,0.772,0.967,Surprise,False
0.068,0.04,0.79,Surprise,False
0.106,0.804,0.917,Happiness,False
0.052,0.786,0.987,Anger,False
0.635,0.185,0.857,Surprise,False
0.322,0.755,0.214,Surprise,False
0.281,0.228,0.403,Surprise,False
0.019,0.65,0.178,Fear,False
0.464,0.382,0.705,Surprise,False
0.426,0.542,0.277,Surprise,False
0.871,0.031,0.8,Happiness,True
0.706,0.859,0.522,Surprise,False
0.034,0.566,0.319,Surprise,False
0.694,0.229,0.537,Sadness,False
0.183,0.94,0.745,Surprise,False
0.508,0.738,0.983,Surprise,False
0.838,0.951,0.261,Surprise,False
0.108,0.13,0.919,Surprise,False
0.954,0.358,0.1,Fear,False
0.971,0.084,0.589,Surprise,False
0.118,0.961,0.565,Surprise,False
0.688,0.403,0.177,Fear,False
0.893,0.446,0.614,Surprise,False
0.479,0.705,0.904,Surprise,False
0.71,0.886,0.284,Happiness,True
0.412,0.171,0.843,Surprise,False
0.564,0.418,0.882,Surprise,False
0.524,0.268,0.804,Surprise,False
0.563,0.824,0.634,Surprise,False
0.615,0.161,0.283,Sadness,False
0.416,0.118,0.028,Fear,False
0.622,0.386,0.799,Surprise,False
0.26,0.555,0.329,Disgust,False
0.671,0.157,0.095,Fear,False
0.917,0.093,0.025,Fear,False
0.213,0.204,0.93,Surprise,False
0.537,0.479,0.763,Surprise,False
0.95,0.391,0.738,Surprise,False
0.547,0.96,0.594,Fear,True
0.416,0.526,0.392,Disgust,False
0.928,0.31,0.182,Fear,False
0.355,0.986,0.834,Surprise,False
0.044,0.608,0.829,Surprise,False
0.796,0.876,0.894,Surprise,False
0.624,0.962,0.364,Surprise,False
0.902,0.274,0.195,Fear,False
0.237,0.808,0.718,Surprise,False
0.862,0.94,0.399,Surprise,False
0.067,0.307,0.489,Surprise,False
0.192,0.775,0.686,Surprise,False
0.93,0.985,0.695,Surprise,False
0.91,0.493,0.055,Fear,False
0.957,0.001,0.343,Surprise,False
0.014,0.142,0.084,Fear,False
0.323,0.884,0.705,Surprise,False
0.437,0.085,0.078,Fear,False
0.036,0.434,0.917,Surprise,False
0.789,0.848,0.703,Surprise,False
0.106,0.126,0.594,Surprise,False
0.788,0.836,0.965,Surprise,False
0.003,0.652,0.959,Surprise,False
0.38,0.329,0.436,Anger,True
0.69,0.152,0.759,Surprise,False
0.932,0.964,0.276,Surprise,False
0.12,0.795,0.37,Surprise,False
0.3,0.329,0.056,Fear,False
0.333,0.329,0.87,Surprise,False
0.69,0.925,0.347,Surprise,False
0.594,0.939,0.447,Surprise,False
0.148,0.601,0.537,Surprise,False
0.782,0.486,0.971,Happiness,True
0.736,0.792,0.699,Fear,True
0.452,0.248,0.202,Surprise,False
0.557,0.506,0.927,Surprise,False
0.686,0.499,0.162,Fear,False
0.457,0.149,0.036,Fear,False
0.41,0.263,0.321,Surprise,False
0.77,0.825,0.663,Surprise,False
0.99,0.293,0.142,Fear,False
0.675,0.786,0.31,Surprise,False
0.632,0.882,0.043,Fear,False
0.313,0.463,0.962,Surprise,False
0.838,0.825,0.588,Surprise,False
0.788,0.023,0.477,Surprise,False
0.893,0.646,0.606,Surprise,False
0.791,0.071,0.187,Fear,False
0.104,0.963,0.168,Fear,False
0.798,0.089,0.43,Surprise,False
0.735,0.209,0.64,Fear,True
0.862,0.371,0.509,Surprise,False
0.553,0.743,0.563,Fear,True
0.667,0.03,0.689,Surprise,False
0.175,0.909,0.613,Surprise,False
0.839,0.626,0.64,Surprise,False
0.03,0.624,0.41,Surprise,False
0.193,0.68,0.427,Surprise,False
0.735,0.323,0.791,Surprise,False
0.501,0.489,0.714,Surprise,False
0.452,0.777,0.972,Surprise,False
0.366,0.721,0.203,Surprise,False
0.054,0.719,0.874,Anger,False
0.787,0.708,0.827,Surprise,False
0.173,0.101,0.22,Surprise,False
0.849,0.759,0.201,Surprise,False
0.302,0.692,0.623,Disgust,False
0.825,0.594,0.184,Fear,False
0.39,0.638,0.834,Surprise,False
0.163,0.27,0.952,Surprise,False
0.04,0.561,0.712,Surprise,False
0.005,0.817,0.139,Fear,False
0.682,0.901,0.856,Surprise,False
0.301,0.455,0.038,Sadness,True
0.93,0.844,0.094,Fear,False
0.445,0.372,0.583,Surprise,False
0.277,0.709,0.321,Surprise,False
0.944,0.104,0.757,Surprise,False
0.082,0.563,0.687,Surprise,False
0.532,0.779,0.753,Surprise,False
0.819,0.743,0.371,Surprise,False
0.186,0.388,0.457,Happiness,True
0.393,0.286,0.183,Fear,False
0.95,0.676,0.403,Surprise,False
0.117,0.462,0.093,Disgust,True
0.847,0.613,0.2,Surprise,False
0.524,0.554,0.92,Surprise,False
0.418,0.068,0.755,Surprise,False
0.575,0.871,0.414,Fear,True
0.38,0.443,0.588,Disgust,False
0.459,0.036,0.939,Happiness,True
0.344,0.266,0.47,Surprise,False
0.043,0.367,0.14,Fear,False
0.867,0.696,0.078,Fear,False
0.077,0.957,0.559,Surprise,False
0.247,0.731,0.241,Surprise,False
0.952,0.755,0.059,Fear,False
0.751,0.518,0.079,Disgust,True
0.621,0.63,0.849,Surprise,False
0.661,0.167,0.379,Sadness,False
0.662,0.326,0.819,Fear,True
0.023,0.561,0.548,Surprise,False
0.466,0.85,0.303,Surprise,False
0.356,0.838,0.951,Surprise,False
0.124,0.967,0.516,Surprise,False
0.42,0.493,0.782,Surprise,False
0.471,0.096,0.754,Surprise,False
0.753,0.76,0.664,Surprise,False
0.674,0.702,0.461,Surprise,False
0.315,0.371,0.441,Disgust,False
0.223,0.884,0.78,Surprise,False
0.591,0.166,0.342,Sadness,False
0.297,0.721,0.587,Happiness,True
0.108,0.1,0.139,Fear,False
0.364,0.517,0.231,Surprise,False
0.268,0.422,0.022,Disgust,True
0.265,0.556,0.968,Surprise,False
0.138,0.7,0.752,Surprise,False
0.919,0.516,0.647,Surprise,False
0.182,0.18,0.138,Disgust,True
0.541,0.731,0.338,Surprise,False
0.975,0.189,0.745,Happiness,True
0.45,0.412,0.343,Surprise,False
0.347,0.985,0.06,Fear,False
0.357,0.189,0.13,Fear,False
0.249,0.002,0.441,Surprise,False
0.593,0.467,0.005,Fear,False
0.232,0.628,0.943,Surprise,False
0.498,0.903,0.504,Surprise,False
0.781,0.247,0.24,Surprise,False
0.443,0.914,0.01,Fear,False
0.477,0.144,0.843,Surprise,False
0.554,0.592,0.046,Fear,False
0.051,0.654,0.872,Surprise,False
0.099,0.991,0.169,Fear,False
0.188,0.15,0.315,Surprise,False
0.931,0.705,0.06,Fear,False
0.336,0.748,0.198,Fear,False
0.744,0.894,0.712,Surprise,False
0.964,0.846,0.354,Surprise,False
0.121,0.527,0.123,Disgust,True
0.364,0.813,0.283,Surprise,False
0.469,0.84,0.763,Surprise,False
0.633,0.373,0.843,Surprise,False
0.173,0.016,0.152,Fear,False
0.278,0.184,0.478,Surprise,False
